ArgName,ArgBasicWeight,FinalWeight
A1319,0.17,0.9853690532325666
A1318,0.46,0.4825319656301149
A1317,0.53,0.4934454854195741
A1312,0.69,0.4962225769071892
A1796,0.71,0.4973040540156742
A1311,0.14,0.5112039648384628
A1795,0.94,0.532127940361186
A1310,0.13,0.4938665660972614
A1794,0.08,0.5041424700853697
A1793,0.31,0.4982733246770254
A1316,0.72,0.499999560029124
A1315,0.88,0.5177040318274907
A1799,0.23,0.4949266784690134
A1314,0.05,0.5000442788291483
A1798,0.11,0.4964244703635941
A1313,0.11,0.491779194644355
A1797,0.06,0.4966822848545974
A1309,0.54,0.5008407908860779
A1308,0.31,0.4886794394459784
A1307,0.99,0.5017827554646666
A1306,0.28,0.4802765254602457
A1301,0.08,0.4995612175135492
A1785,0.79,0.5002654555509177
A1300,0.17,0.3818223349178172
A1784,0.04,0.4997376620552284
A1783,0.56,0.4911728596823854
A1782,0.25,0.4792653593335421
A1305,0.47,0.5283855991475171
A1789,0.01,0.4951164424629824
A1304,0.66,0.4879948049693937
A1788,0.03,0.4959613067261697
A1303,0.2,0.2921175713180859
A1787,0.66,0.4992839219900933
A1302,0.33,0.502268641215338
A1786,0.74,0.5007273197929589
A1792,0.66,0.4968486979487272
A1791,0.86,0.5433038239176988
A1790,0.23,0.4854307996695148
A1339,0.46,0.495628950807285
A1334,0.94,0.5286385507101977
A1333,0.56,0.4871429017217343
A1332,0.27,0.4999065962476175
A1331,0.09,0.4879010054790772
A1338,0.54,0.4967762388975314
A1337,0.96,0.5267016493851604
A1336,0.7,0.4997202575947704
A1335,0.07,0.4448808099416579
A1341,0.76,0.5346107409052098
A1340,0.93,0.5001308815703325
A1329,0.49,0.5000455369039433
A1328,0.8,0.5303707417586235
A1323,0.52,0.4780597083333134
A1322,0.73,0.5050337245991652
A1321,1.0,0.5314228931630223
A1320,0.53,0.5125272822131776
A1327,0.67,0.5062637188681929
A1326,0.18,0.4937901793714371
A1325,0.57,0.5644864538999558
A1324,0.37,0.5044297796367017
A1330,0.22,0.4974424966122013
A1759,0.75,0.4958115180308937
A1758,0.53,0.5166450074424126
A1757,0.4,0.5270193038826393
A1752,0.01,0.4691770141029945
A1751,0.14,0.4876290633389393
A1750,0.27,0.4516538838640901
A1756,0.98,0.5258117755454214
A1755,0.29,0.4949871510639383
A1754,0.63,0.5269976352822555
A1753,0.95,0.5046085474511393
A709,0.13,0.5015680634333395
A1749,0.56,0.4975393539735798
A1748,0.22,0.4937742738787357
A707,0.48,0.4995155008245001
A1747,0.94,0.5016518475579933
A708,0.51,0.5076938544741304
A1746,0.58,0.5021482222787482
A705,0.31,0.505525822348174
A706,0.92,0.5322775306469537
A703,0.99,0.507065560109774
A704,0.41,0.4879245774291142
A701,0.82,0.4792818797511819
A1741,0.29,0.4918015746784741
A702,0.54,0.4742220007641989
A1740,0.47,0.4994023715719839
A700,0.38,0.4954585483541504
A1745,0.28,0.4962172541630793
A1744,0.39,0.5016267294742413
A1743,0.68,0.5018475567829799
A1742,0.03,0.5001205764620069
A718,0.4,0.5064502840304291
A719,0.67,0.4610240554888607
A1779,0.98,0.5034308265917086
A716,0.31,0.5201679402274215
A717,0.83,0.5328228730066233
A714,0.0,0.9659447907436826
A715,0.35,0.5154766863262703
A712,0.62,0.6627418378602383
A1774,0.46,0.4968599153533995
A713,0.97,0.5137627859713986
A1773,0.79,0.5224357810798752
A710,0.68,0.5007932063080517
A1772,0.15,0.4982612252402926
A711,0.5,0.4984084899176877
A1771,0.59,0.5038148044531501
A1778,0.93,0.504106062160384
