ArgName,ArgBasicWeight,FinalWeight
A109,0.28,0.9951523546077068
A107,0.2,0.3309507010699432
A108,0.19,0.4972084644152921
A105,0.78,0.4054091733058956
A106,0.37,0.5233876762137745
A103,0.54,0.8640903685239124
A104,0.61,0.0233099624861173
A0,0.6,0.4558710014415065
A101,0.69,0.8302445524145382
A1,0.64,0.9943844553000608
A102,0.21,0.5207429866423178
A2,0.54,0.9994517698995932
A3,0.09,0.5041845114473357
A100,0.22,0.8636212468570298
A4,0.55,0.7922678519323094
A5,0.81,0.500743520004442
A6,0.75,0.6085080754587711
A7,0.65,0.8629778264105699
A8,0.12,0.4946185547424961
A9,0.9,0.5905437493149767
A10,0.24,0.6888132494793823
A11,0.15,0.4649037273964531
A12,0.5,0.4474047025022488
A13,0.47,0.4441425003764443
A14,0.98,0.6341813872800115
A15,0.26,0.3669209679006728
A16,0.68,0.8910195635708908
A17,0.79,0.6197342361552214
A18,0.59,0.8440910368236407
A19,0.3,0.4396736679437295
A118,0.91,0.6008109192437259
A119,0.35,0.0161137611713734
A116,0.81,0.8696859079783313
A117,0.49,0.9754228410291385
A114,0.85,0.4620515819144465
A115,0.6,0.8424491428925254
A112,0.55,0.9083050316320184
A113,0.75,0.4979790508695318
A110,0.82,0.4996745097025373
A111,0.59,0.6162519377618151
A20,0.25,0.3792377232202735
A21,0.79,0.9912010443637036
A22,0.84,0.5864341889828157
A23,1.0,0.7063550076959816
A24,0.32,0.5800090414925254
A25,0.49,0.6445986803436882
A26,0.5,0.7358276467714322
A27,0.46,0.9962259119334078
A28,0.51,0.0014783685072904
A29,0.86,0.665566041811409
A129,0.59,0.6000038432090994
A127,0.85,0.5314062279561961
A128,0.12,0.4752135059702234
A125,0.85,0.8796407508203461
A126,0.51,0.5323088368235822
A123,0.99,0.5721699522576844
A124,0.72,0.4413313928927883
A121,0.5,0.6294664397848144
A122,0.29,0.4404901754242763
A120,0.35,0.4650942422336221
A30,0.81,0.6991130908633675
A31,0.03,0.4151461224107539
A32,0.49,0.4355776861020306
A33,0.53,0.9112818653923752
A34,0.55,0.4949219737426932
A35,0.48,0.9209748895794362
A36,0.44,0.999992129053736
A37,0.09,0.5024956100868564
A38,0.61,0.4182751617950942
A39,0.81,0.4069182337396453
A138,0.56,0.452734639688624
A139,0.86,0.5393519040271809
A136,0.7,0.7195104484839099
A137,0.62,0.4892062361548112
A134,0.79,0.5652821161936721
A135,0.87,0.6133964192666441
A132,0.62,0.6379292629223898
A133,0.31,0.5064119341168136
A130,0.15,0.3405464889547078
A131,0.19,0.2404529740803227
A40,0.83,0.4592901700200435
A41,0.1,0.0689540638322632
A42,0.48,0.998944098323368
A43,0.43,0.5001095194719237
A44,0.95,0.6880272107071954
A45,0.19,0.8752713030030732
A46,1.0,1.0
A47,0.08,0.5086407714822
A48,0.02,0.940912771267021
A49,0.56,0.5718001628082244
A149,0.56,0.5365428749969029
A147,0.43,0.5402573755299364
A148,0.61,0.4918628983625662
A145,0.64,0.5577866533105824
A146,0.97,0.5440573856412433
A143,0.55,0.5147864378262297
A144,0.17,0.0005918158265942
A141,0.64,0.7110251235344935
A142,0.81,0.5124557543514193
A140,0.06,0.481914945305776
A50,0.66,0.6008096506913861
A51,0.51,0.4298078644925121
A52,0.09,0.2453025913893201
A53,0.35,0.3835129953963052
A54,0.91,0.5713908108468313
A55,0.73,0.5918666542011335
A56,0.63,0.4642100179641566
A57,0.36,0.5223071672976304
A58,0.2,0.4832748106215107
A59,0.61,0.6067947136776475
A158,0.69,0.7093513648730032
A159,0.24,0.5296954718321014
A156,0.16,0.506570485249741
A157,0.29,0.2600240672188836
A154,0.73,0.604618157510148
A155,0.33,0.4064745652351488
A152,0.4,0.51595129148473
A153,0.93,0.639779670839625
A150,0.61,0.4825029353752648
A151,0.24,0.4985285539238857
A60,0.29,0.6039485989427003
A61,0.15,0.5356439207036134
A62,0.04,0.4354012518567416
A63,0.18,0.4752520776276978
A64,0.46,0.0697539243798109
A65,0.57,0.4905868739983858
